date,time,open,high,low,close,tickvol,vol,spread
2025.09.18,04:25:00,147.101,147.102,147.067,147.075,88,0,0
2025.09.18,04:26:00,147.075,147.075,147.066,147.068,40,0,0
2025.09.18,04:27:00,147.068,147.068,147.034,147.034,56,0,0
2025.09.18,04:28:00,147.035,147.035,147.021,147.025,67,0,0
2025.09.18,04:29:00,147.025,147.065,147.025,147.053,63,0,0
2025.09.18,04:30:00,147.053,147.067,147.042,147.058,134,0,0
2025.09.18,04:31:00,147.059,147.086,147.052,147.085,129,0,0
2025.09.18,04:32:00,147.085,147.089,147.070,147.077,100,0,0
2025.09.18,04:33:00,147.077,147.094,147.055,147.058,120,0,0
2025.09.18,04:34:00,147.058,147.058,147.040,147.049,68,0,1
2025.09.18,04:35:00,147.049,147.056,147.024,147.045,109,0,0
2025.09.18,04:36:00,147.046,147.089,147.046,147.082,136,0,0
2025.09.18,04:37:00,147.081,147.092,147.058,147.086,108,0,0
2025.09.18,04:38:00,147.086,147.106,147.072,147.072,103,0,0
2025.09.18,04:39:00,147.071,147.074,147.037,147.043,127,0,0
2025.09.18,04:40:00,147.043,147.062,147.029,147.050,98,0,0
2025.09.18,04:41:00,147.050,147.064,147.039,147.050,61,0,0
2025.09.18,04:42:00,147.050,147.074,147.050,147.056,53,0,0
2025.09.18,04:43:00,147.057,147.077,147.054,147.063,101,0,0
2025.09.18,04:44:00,147.061,147.077,147.060,147.076,82,0,0
2025.09.18,04:45:00,147.076,147.088,147.071,147.076,72,0,0
2025.09.18,04:46:00,147.075,147.083,147.068,147.073,48,0,0
2025.09.18,04:47:00,147.072,147.095,147.071,147.094,72,0,0
2025.09.18,04:48:00,147.094,147.105,147.093,147.105,74,0,0
2025.09.18,04:49:00,147.104,147.125,147.098,147.123,58,0,0
2025.09.18,04:50:00,147.123,147.129,147.100,147.112,87,0,0
2025.09.18,04:51:00,147.110,147.112,147.096,147.110,70,0,0
2025.09.18,04:52:00,147.111,147.115,147.101,147.113,49,0,0
2025.09.18,04:53:00,147.114,147.123,147.100,147.123,81,0,0
2025.09.18,04:54:00,147.123,147.139,147.119,147.119,53,0,0
2025.09.18,04:55:00,147.119,147.119,147.102,147.105,51,0,0
2025.09.18,04:56:00,147.116,147.133,147.116,147.117,60,0,0
2025.09.18,04:57:00,147.118,147.121,147.096,147.096,70,0,0
2025.09.18,04:58:00,147.096,147.096,147.061,147.063,115,0,0
2025.09.18,04:59:00,147.063,147.067,147.022,147.022,96,0,0
2025.09.18,05:00:00,147.023,147.023,146.996,147.008,116,0,0
2025.09.18,05:01:00,147.008,147.032,147.002,147.023,69,0,0
2025.09.18,05:02:00,147.024,147.036,147.015,147.034,62,0,0
2025.09.18,05:03:00,147.034,147.044,147.032,147.042,27,0,0
2025.09.18,05:04:00,147.042,147.042,147.033,147.034,32,0,0
2025.09.18,05:05:00,147.034,147.056,147.032,147.056,88,0,0
2025.09.18,05:06:00,147.056,147.069,147.054,147.063,70,0,0
2025.09.18,05:07:00,147.063,147.070,147.061,147.068,34,0,0
2025.09.18,05:08:00,147.068,147.070,147.047,147.064,91,0,0
2025.09.18,05:09:00,147.065,147.066,147.042,147.062,60,0,0
2025.09.18,05:10:00,147.062,147.062,147.030,147.032,66,0,0
2025.09.18,05:11:00,147.030,147.033,147.013,147.028,57,0,0
2025.09.18,05:12:00,147.028,147.043,147.023,147.035,73,0,0
